amount,transaction_hour,transactions_last_10min,failed_attempts,new_device,location_change,account_age_days,previous_chargebacks,ip_repeat_count,merchant_tx_per_min,failure_rate_5m,fraud
5013.82,20,2,1,0,0,282,0,1,2.0,4.96,0
1221.72,17,3,1,0,0,292,0,0,19.02,1.67,0
8006.22,6,3,0,0,1,381,0,0,32.42,8.38,0
9775.09,7,2,2,0,0,202,0,1,13.72,6.73,0
469.38,23,3,1,0,0,657,1,1,18.24,3.97,0
927.7,22,3,2,1,0,512,1,0,17.82,8.51,1
4164.0,16,1,3,1,0,202,0,3,19.26,5.29,0
2612.19,0,1,1,0,0,85,0,1,18.89,4.82,0
3577.28,5,1,0,0,0,1030,0,1,25.9,3.31,0
1486.68,8,2,0,1,0,626,0,1,14.88,1.82,0
9167.02,12,3,0,0,0,51,0,2,18.11,6.57,0
8239.39,20,3,1,0,0,1508,0,1,9.42,5.9,0
3902.34,20,2,0,0,0,728,0,0,13.55,3.79,0
11891.79,6,2,0,0,0,519,1,2,18.55,8.99,0
5948.44,2,2,2,0,0,224,0,0,20.75,6.36,0
1476.96,6,4,0,1,0,588,0,4,19.62,10.14,0
5362.51,5,3,0,1,0,87,0,0,18.47,1.65,0
1330.32,21,4,1,0,1,278,0,0,12.15,7.98,0
9157.91,0,1,2,0,0,783,0,1,17.25,11.19,0
3455.0,19,1,0,0,0,389,0,2,19.04,1.23,0
2998.58,15,0,1,1,0,631,1,1,20.28,3.07,0
1781.17,2,0,1,0,0,141,0,0,22.77,5.62,0
13143.31,16,3,0,1,0,225,0,0,15.67,0.65,0
3095.62,13,7,0,0,0,511,0,2,16.05,2.05,0
2322.17,0,3,0,0,0,589,0,3,23.47,2.4,0
2515.58,5,3,1,0,0,385,0,1,18.5,3.16,0
6367.26,8,2,0,1,0,501,0,0,15.18,3.41,0
5343.93,5,3,0,0,0,444,0,1,13.42,4.72,0
5615.97,13,1,0,1,0,299,0,4,24.4,4.57,0
5723.65,14,2,1,0,0,283,0,3,21.92,8.7,0
34500.53,4,3,0,0,0,427,0,1,15.82,10.6,0
2376.22,2,1,1,0,1,333,0,0,16.9,11.45,1
2126.31,15,6,0,0,0,662,1,1,20.38,6.31,0
1549.27,11,2,0,0,0,680,0,0,9.72,9.06,0
6951.96,6,3,3,0,0,361,0,0,29.31,6.82,0
11913.42,6,2,1,0,0,302,0,2,10.27,4.28,0
3230.38,0,4,4,1,0,552,0,0,26.17,4.6,1
1506.94,20,1,1,1,0,630,0,1,16.03,5.85,0
1531.95,20,3,0,0,0,45,0,3,23.03,6.82,0
7209.27,13,3,1,0,0,551,0,1,17.02,6.72,0
7945.94,8,3,1,0,0,945,0,1,11.68,4.94,0
6440.18,5,3,1,0,0,672,0,2,18.09,10.43,0
1810.24,7,5,1,0,0,411,0,1,22.29,4.15,0
4646.03,22,3,2,0,0,1247,0,3,24.35,5.87,0
4115.52,2,3,1,1,0,549,0,0,21.16,1.37,0
4580.77,19,1,2,0,0,299,0,1,15.55,3.59,0
9090.64,7,2,2,1,0,723,0,0,12.93,5.69,0
4604.44,6,2,0,0,0,370,0,0,10.92,3.2,0
7426.87,19,4,0,0,0,718,0,3,13.08,5.96,0
3908.69,23,3,1,1,0,478,0,2,27.41,7.05,0
4932.37,23,6,1,0,1,388,0,1,23.97,2.89,0
7064.61,6,2,0,0,0,465,0,5,10.5,20.92,1
788.38,14,4,0,1,0,240,0,1,4.9,1.53,0
2602.81,7,2,2,0,0,266,1,2,7.84,10.8,1
2221.88,4,5,1,0,0,584,0,2,17.27,1.75,0
1861.58,9,5,0,0,0,611,0,2,24.98,9.31,0
2727.39,1,2,0,0,0,938,0,1,22.84,2.69,0
17495.31,3,1,0,1,1,461,0,3,18.55,3.71,0
1466.86,14,5,0,0,0,553,0,1,10.09,13.01,0
10063.72,16,0,0,1,1,120,0,2,19.08,9.15,0
622.03,6,1,2,0,0,195,0,1,18.42,2.3,0
2561.56,13,4,0,0,0,335,0,1,22.17,7.88,0
4319.48,18,3,0,0,0,429,0,2,19.47,7.41,0
6738.1,21,2,0,0,0,226,0,0,5.11,9.09,0
7683.17,13,1,1,0,0,625,0,1,4.19,13.24,0
8375.07,5,0,1,0,0,381,1,3,20.27,8.59,0
2524.6,17,3,0,0,0,341,0,1,6.68,0.27,0
2240.67,4,3,2,0,0,538,0,0,18.13,4.74,0
8963.13,3,2,0,0,0,488,0,1,2.0,6.97,0
2978.37,8,1,0,0,0,308,0,2,21.85,9.42,0
953.87,7,3,0,0,0,545,0,1,26.32,3.55,0
1107.71,3,2,0,0,0,350,0,0,23.53,1.52,0
1386.55,1,5,3,1,0,412,1,1,18.69,10.71,1
6136.55,22,2,0,0,0,684,0,4,20.92,3.88,0
4228.27,16,2,1,0,1,719,0,2,13.19,3.91,0
7517.66,17,3,0,1,0,521,0,1,18.57,4.75,0
2324.79,1,4,0,0,0,469,0,3,10.58,9.52,0
4300.41,19,5,0,0,0,356,0,2,12.27,2.45,0
7022.47,8,2,0,0,0,281,1,2,23.29,2.23,0
2631.18,17,2,0,0,0,1315,0,2,19.21,6.5,0
5881.78,11,2,1,1,0,929,0,2,5.73,3.19,0
1817.06,5,2,0,1,0,323,1,3,18.97,3.39,0
2486.9,6,4,0,0,0,555,0,1,19.27,7.19,0
2438.59,3,2,0,0,0,688,0,1,21.86,25.0,1
1037.29,19,4,1,0,0,186,0,3,11.07,3.26,0
6071.26,10,3,0,0,0,415,0,0,17.06,5.72,0
2224.14,18,2,1,0,0,484,0,2,24.47,6.57,0
3689.03,19,3,0,0,0,1100,0,1,22.94,4.64,0
6031.7,4,2,2,0,0,449,0,1,12.13,4.97,0
5818.85,7,2,1,0,0,142,0,1,13.21,3.7,0
7322.11,2,3,1,0,0,729,0,0,18.93,2.45,0
3283.25,0,7,0,0,0,693,0,3,18.69,3.09,0
2334.46,23,3,1,0,1,410,0,0,17.57,8.46,0
3348.59,15,5,3,0,0,283,0,1,28.34,1.98,0
619.12,10,3,0,0,0,463,0,0,25.64,5.17,0
796.74,4,2,1,0,0,485,0,1,25.14,4.86,0
907.93,14,2,1,0,0,730,0,2,17.38,8.91,0
1277.79,13,4,2,0,0,377,1,3,16.99,8.2,1
5540.07,5,8,2,0,0,857,0,2,22.46,4.1,0
1407.04,0,5,1,1,0,277,0,2,17.01,5.37,0
2447.76,11,1,2,0,0,578,0,2,17.36,4.64,0
14245.41,12,2,0,1,0,183,0,2,13.31,16.53,1
2504.7,19,5,1,1,0,509,0,4,12.6,9.53,1
7898.21,9,2,0,1,0,246,0,1,16.8,8.19,0
1366.08,2,1,0,0,0,294,0,3,20.14,5.22,0
2934.49,21,3,1,1,1,210,0,3,26.21,3.18,0
1342.75,9,4,1,0,0,538,0,1,24.97,10.81,0
2550.42,17,5,1,0,0,283,0,1,12.02,4.58,0
8798.39,1,3,1,0,0,122,1,0,16.01,13.97,1
593.66,0,0,1,0,0,135,0,1,26.87,6.23,0
5745.34,0,1,0,0,0,967,0,1,23.46,2.21,0
4673.31,18,1,0,0,0,617,0,0,24.09,3.67,0
1951.09,5,3,0,1,1,233,0,3,11.78,3.37,0
797.63,18,3,2,0,0,58,0,3,19.42,5.82,0
3927.41,22,4,2,0,0,194,0,2,20.05,9.91,0
